attack,base_happiness,capture_rate,defense,height_m,hp,name,pokedex_number,speed,type1,weight_kg,is_legendary
90,70,45,65,1.4,68,Gabite,444,82,dragon,56.0,False
170,70,45,115,1.9,108,Garchomp,445,92,dragon,95.0,False
85,70,50,40,0.6,135,Munchlax,446,5,normal,105.0,False
70,70,75,40,0.7,40,Riolu,447,60,fighting,20.2,False
145,70,45,88,1.2,70,Lucario,448,112,fighting,54.0,False
72,70,140,78,0.8,68,Hippopotas,449,32,ground,49.5,False
112,70,60,118,2.0,108,Hippowdon,450,47,ground,300.0,False
50,70,120,90,0.8,40,Skorupi,451,65,poison,12.0,False
90,70,45,110,1.3,70,Drapion,452,95,poison,61.5,False
61,100,140,40,0.7,48,Croagunk,453,50,poison,23.0,False
106,70,75,65,1.3,83,Toxicroak,454,85,poison,44.4,False
100,70,200,72,1.4,74,Carnivine,455,46,grass,27.0,False
49,70,190,56,0.4,49,Finneon,456,66,water,7.0,False
69,70,75,76,1.2,69,Lumineon,457,91,water,24.0,False
20,70,25,50,1.0,45,Mantyke,458,50,water,65.0,False
62,70,120,50,1.0,60,Snover,459,40,grass,50.5,False
132,70,60,105,2.2,90,Abomasnow,460,30,grass,135.5,False
120,35,45,65,1.1,70,Weavile,461,125,dark,34.0,False
70,70,30,115,1.2,70,Magnezone,462,60,electric,180.0,False
85,70,30,95,1.7,110,Lickilicky,463,50,normal,140.0,False
140,70,30,130,2.4,115,Rhyperior,464,40,ground,282.8,False
100,70,30,125,2.0,100,Tangrowth,465,50,grass,128.6,False
123,70,30,67,1.8,75,Electivire,466,95,electric,138.6,False
95,70,30,67,1.6,75,Magmortar,467,83,fire,68.0,False
50,70,30,95,1.5,85,Togekiss,468,80,fairy,38.0,False
76,70,30,86,1.9,86,Yanmega,469,95,bug,51.5,False
110,35,45,130,1.0,65,Leafeon,470,95,grass,25.5,False
60,35,45,110,0.8,65,Glaceon,471,65,ice,25.9,False
95,70,30,125,2.0,75,Gliscor,472,95,ground,42.5,False
130,70,50,80,2.5,110,Mamoswine,473,80,ice,291.0,False
80,70,30,70,0.9,85,Porygon-Z,474,90,normal,34.0,False
165,35,45,95,1.6,68,Gallade,475,110,psychic,52.0,False
55,70,60,145,1.4,60,Probopass,476,40,rock,340.0,False
100,35,45,135,2.2,45,Dusknoir,477,45,ghost,106.6,False
80,70,75,70,1.3,70,Froslass,478,110,ice,26.6,False
65,70,45,107,0.3,50,Rotom,479,86,electric,0.3,False
75,140,3,130,0.3,75,Uxie,480,95,psychic,0.3,True
105,140,3,105,0.3,80,Mesprit,481,80,psychic,0.3,True
125,140,3,70,0.3,75,Azelf,482,115,psychic,0.3,True
120,0,3,120,5.4,100,Dialga,483,90,steel,683.0,True
120,0,3,100,4.2,90,Palkia,484,100,water,336.0,True
90,100,3,106,1.7,91,Heatran,485,77,fire,430.0,True
160,0,3,110,3.7,110,Regigigas,486,100,normal,420.0,True
120,0,3,100,4.5,150,Giratina,487,90,ghost,750.0,True
70,100,3,120,1.5,120,Cresselia,488,85,psychic,85.6,True
80,70,30,80,0.4,80,Phione,489,80,water,3.1,False
100,70,3,100,0.3,100,Manaphy,490,100,water,1.4,True
90,0,3,90,1.5,70,Darkrai,491,125,dark,50.5,True
103,100,45,75,0.2,100,Shaymin,492,127,grass,2.1,True
120,0,3,120,3.2,120,Arceus,493,120,normal,320.0,True
100,100,3,100,0.4,100,Victini,494,100,psychic,4.0,True
45,70,45,55,0.6,45,Snivy,495,63,grass,8.1,False
60,70,45,75,0.8,60,Servine,496,83,grass,16.0,False
75,70,45,95,3.3,75,Serperior,497,113,grass,63.0,False
63,70,45,45,0.5,65,Tepig,498,45,fire,9.9,False
93,70,45,55,1.0,90,Pignite,499,55,fire,55.5,False
123,70,45,65,1.6,110,Emboar,500,65,fire,150.0,False
55,70,45,45,0.5,55,Oshawott,501,45,water,5.9,False
75,70,45,60,0.8,75,Dewott,502,60,water,24.5,False
100,70,45,85,1.5,95,Samurott,503,70,water,94.6,False
55,70,255,39,0.5,45,Patrat,504,42,normal,11.6,False
85,70,255,69,1.1,60,Watchog,505,77,normal,27.0,False
60,70,255,45,0.4,45,Lillipup,506,55,normal,4.1,False
80,70,120,65,0.9,65,Herdier,507,60,normal,14.7,False
110,70,45,90,1.2,85,Stoutland,508,80,normal,61.0,False
50,70,255,37,0.4,41,Purrloin,509,66,dark,10.1,False
88,70,90,50,1.1,64,Liepard,510,106,dark,37.5,False
53,70,190,48,0.6,50,Pansage,511,64,grass,10.5,False
98,70,75,63,1.1,75,Simisage,512,101,grass,30.5,False
53,70,190,48,0.6,50,Pansear,513,64,fire,11.0,False
98,70,75,63,1.0,75,Simisear,514,101,fire,28.0,False
53,70,190,48,0.6,50,Panpour,515,64,water,13.5,False
98,70,75,63,1.0,75,Simipour,516,101,water,29.0,False
25,70,190,45,0.6,76,Munna,517,24,psychic,23.3,False
55,70,75,85,1.1,116,Musharna,518,29,psychic,60.5,False
55,70,255,50,0.3,50,Pidove,519,43,normal,2.1,False
77,70,120,62,0.6,62,Tranquill,520,65,normal,15.0,False
115,70,45,80,1.2,80,Unfezant,521,93,normal,29.0,False
60,70,190,32,0.8,45,Blitzle,522,76,electric,29.8,False
100,70,75,63,1.6,75,Zebstrika,523,116,electric,79.5,False
75,70,255,85,0.4,55,Roggenrola,524,15,rock,18.0,False
105,70,120,105,0.9,70,Boldore,525,20,rock,102.0,False
135,70,45,130,1.7,85,Gigalith,526,25,rock,260.0,False
45,70,190,43,0.4,65,Woobat,527,72,psychic,2.1,False
57,70,45,55,0.9,67,Swoobat,528,114,psychic,10.5,False
85,70,120,40,0.3,60,Drilbur,529,68,ground,8.5,False
135,70,60,60,0.7,110,Excadrill,530,88,ground,40.4,False
60,70,255,126,1.1,103,Audino,531,50,normal,31.0,False
80,70,180,55,0.6,75,Timburr,532,35,fighting,12.5,False
105,70,90,85,1.2,85,Gurdurr,533,40,fighting,40.0,False
140,70,45,95,1.4,105,Conkeldurr,534,45,fighting,87.0,False
50,70,255,40,0.5,50,Tympole,535,64,water,4.5,False
65,70,120,55,0.8,75,Palpitoad,536,69,water,17.0,False
95,70,45,75,1.5,105,Seismitoad,537,74,water,62.0,False
100,70,45,85,1.3,120,Throh,538,45,fighting,55.5,False
125,70,45,75,1.4,75,Sawk,539,85,fighting,51.0,False
53,70,255,70,0.3,45,Sewaddle,540,42,bug,2.5,False
63,70,120,90,0.5,55,Swadloon,541,42,bug,7.3,False
103,70,45,80,1.2,75,Leavanny,542,92,bug,20.5,False
45,70,255,59,0.4,30,Venipede,543,57,bug,5.3,False
55,70,120,99,1.2,40,Whirlipede,544,47,bug,58.5,False
100,70,45,89,2.5,60,Scolipede,545,112,bug,200.5,False
27,70,190,60,0.3,40,Cottonee,546,66,grass,0.6,False
67,70,75,85,0.7,60,Whimsicott,547,116,grass,6.6,False
35,70,190,50,0.5,45,Petilil,548,30,grass,6.6,False
60,70,75,75,1.1,70,Lilligant,549,90,grass,16.3,False
92,70,25,65,1.0,70,Basculin,550,98,water,18.0,False
72,70,180,35,0.7,50,Sandile,551,65,ground,15.2,False
82,70,90,45,1.0,60,Krokorok,552,74,ground,33.4,False
117,70,45,80,1.5,95,Krookodile,553,92,ground,96.3,False
90,70,120,45,0.6,70,Darumaka,554,50,fire,37.5,False
30,70,60,105,1.3,105,Darmanitan,555,55,fire,92.9,False
86,70,255,67,1.0,75,Maractus,556,60,grass,28.0,False
65,70,190,85,0.3,50,Dwebble,557,55,bug,14.5,False
105,70,75,125,1.4,70,Crustle,558,45,bug,200.0,False
75,35,180,70,0.6,50,Scraggy,559,48,dark,11.8,False
90,70,90,115,1.1,65,Scrafty,560,58,dark,30.0,False
58,70,45,80,1.4,72,Sigilyph,561,97,psychic,14.0,False
30,70,190,85,0.5,38,Yamask,562,30,ghost,1.5,False
50,70,90,145,1.7,58,Cofagrigus,563,30,ghost,76.5,False
78,70,45,103,0.7,54,Tirtouga,564,22,water,16.5,False
108,70,45,133,1.2,74,Carracosta,565,32,water,81.0,False
112,70,45,45,0.5,55,Archen,566,70,rock,9.5,False
140,70,45,65,1.4,75,Archeops,567,110,rock,32.0,False
50,70,190,62,0.6,50,Trubbish,568,65,poison,31.0,False
95,70,60,82,1.9,80,Garbodor,569,75,poison,107.3,False
65,70,75,40,0.7,40,Zorua,570,65,dark,12.5,False
105,70,45,60,1.6,60,Zoroark,571,105,dark,81.1,False
50,70,255,40,0.4,55,Minccino,572,75,normal,5.8,False
95,70,60,60,0.5,75,Cinccino,573,115,normal,7.5,False
30,70,200,50,0.4,45,Gothita,574,45,psychic,5.8,False
45,70,100,70,0.7,60,Gothorita,575,55,psychic,18.0,False
55,70,50,95,1.5,70,Gothitelle,576,65,psychic,44.0,False
30,70,200,40,0.3,45,Solosis,577,20,psychic,1.0,False
40,70,100,50,0.6,65,Duosion,578,30,psychic,8.0,False
65,70,50,75,1.0,110,Reuniclus,579,30,psychic,20.1,False
44,70,190,50,0.5,62,Ducklett,580,55,water,5.5,False
87,70,45,63,1.3,75,Swanna,581,98,water,24.2,False
50,70,255,50,0.4,36,Vanillite,582,44,ice,5.7,False
65,70,120,65,1.1,51,Vanillish,583,59,ice,41.0,False
95,70,45,85,1.3,71,Vanilluxe,584,79,ice,57.5,False
60,70,190,50,0.6,60,Deerling,585,75,normal,19.5,False
100,70,75,70,1.9,80,Sawsbuck,586,95,normal,92.5,False
75,70,200,60,0.4,55,Emolga,587,103,electric,5.0,False
75,70,200,45,0.5,50,Karrablast,588,60,bug,5.9,False
135,70,75,105,1.0,70,Escavalier,589,20,bug,33.0,False
55,70,190,45,0.2,69,Foongus,590,15,grass,1.0,False
85,70,75,70,0.6,114,Amoonguss,591,30,grass,10.5,False
40,70,190,50,1.2,55,Frillish,592,40,water,33.0,False
60,70,60,70,2.2,100,Jellicent,593,60,water,135.0,False
75,70,75,80,1.2,165,Alomomola,594,65,water,31.6,False
47,70,190,50,0.1,50,Joltik,595,65,bug,0.6,False
77,70,75,60,0.8,70,Galvantula,596,108,bug,14.3,False
50,70,255,91,0.6,44,Ferroseed,597,10,grass,18.8,False
94,70,90,131,1.0,74,Ferrothorn,598,20,grass,110.0,False
55,70,130,70,0.3,40,Klink,599,30,steel,21.0,False
80,70,60,95,0.6,60,Klang,600,50,steel,51.0,False
100,70,30,115,0.6,60,Klinklang,601,90,steel,81.0,False
55,70,190,40,0.2,35,Tynamo,602,60,electric,0.3,False
85,70,60,70,1.2,65,Eelektrik,603,40,electric,22.0,False
115,70,30,80,2.1,85,Eelektross,604,50,electric,80.5,False
55,70,255,55,0.5,55,Elgyem,605,30,psychic,9.0,False
75,70,90,75,1.0,75,Beheeyem,606,40,psychic,34.5,False
30,70,190,55,0.3,50,Litwick,607,20,ghost,3.1,False
40,70,90,60,0.6,60,Lampent,608,55,ghost,13.0,False
55,70,45,90,1.0,60,Chandelure,609,80,ghost,34.3,False
87,35,75,60,0.6,46,Axew,610,57,dragon,18.0,False
117,35,60,70,1.0,66,Fraxure,611,67,dragon,36.0,False
147,35,45,90,1.8,76,Haxorus,612,97,dragon,105.5,False
70,70,120,40,0.5,55,Cubchoo,613,40,ice,8.5,False
130,70,60,80,2.6,95,Beartic,614,50,ice,260.0,False
50,70,25,50,1.1,80,Cryogonal,615,105,ice,148.0,False
40,70,200,85,0.4,50,Shelmet,616,25,bug,7.7,False
70,70,75,40,0.8,80,Accelgor,617,145,bug,25.3,False
66,70,75,84,0.7,109,Stunfisk,618,32,ground,11.0,False
85,70,180,50,0.9,45,Mienfoo,619,65,fighting,20.0,False
125,70,45,60,1.4,65,Mienshao,620,105,fighting,35.5,False
120,70,45,90,1.6,77,Druddigon,621,48,dragon,139.0,False
74,70,190,50,1.0,59,Golett,622,35,ground,92.0,False
124,70,90,80,2.8,89,Golurk,623,55,ground,330.0,False
85,35,120,70,0.5,45,Pawniard,624,60,dark,10.2,False
125,35,45,100,1.6,65,Bisharp,625,70,dark,70.0,False
110,70,45,95,1.6,95,Bouffalant,626,55,normal,94.6,False
83,70,190,50,0.5,70,Rufflet,627,60,normal,10.5,False
123,70,60,75,1.5,100,Braviary,628,80,normal,41.0,False
55,35,190,75,0.5,70,Vullaby,629,60,dark,9.0,False
65,35,60,105,1.2,110,Mandibuzz,630,80,dark,39.5,False
97,70,90,66,1.4,85,Heatmor,631,65,fire,58.0,False
109,70,90,112,0.3,58,Durant,632,109,bug,33.0,False
65,35,45,50,0.8,52,Deino,633,38,dark,17.3,False
85,35,45,70,1.4,72,Zweilous,634,58,dark,50.0,False
105,35,45,90,1.8,92,Hydreigon,635,98,dark,160.0,False
85,70,45,55,1.1,55,Larvesta,636,60,bug,28.8,False
60,70,15,65,1.6,85,Volcarona,637,100,bug,46.0,False
90,35,3,129,2.1,91,Cobalion,638,108,steel,250.0,True
129,35,3,90,1.9,91,Terrakion,639,108,rock,260.0,True
90,35,3,72,2.0,91,Virizion,640,108,grass,200.0,True
100,90,3,80,1.5,79,Tornadus,641,121,flying,63.0,True
105,90,3,70,1.5,79,Thundurus,642,101,electric,61.0,True
120,0,3,100,3.2,100,Reshiram,643,90,dragon,330.0,True
150,0,3,120,2.9,100,Zekrom,644,90,dragon,345.0,True
145,90,3,90,1.5,89,Landorus,645,91,ground,68.0,True
120,0,3,90,3.0,125,Kyurem,646,95,dragon,325.0,True
72,35,3,90,1.4,91,Keldeo,647,108,water,48.5,True
128,100,3,90,0.6,100,Meloetta,648,128,normal,6.5,True
120,0,3,95,1.5,71,Genesect,649,99,bug,82.5,True
61,70,45,65,0.4,56,Chespin,650,38,grass,9.0,False
78,70,45,95,0.7,61,Quilladin,651,57,grass,29.0,False
107,70,45,122,1.6,88,Chesnaught,652,64,grass,90.0,False
45,70,45,40,0.4,40,Fennekin,653,60,fire,9.4,False
59,70,45,58,1.0,59,Braixen,654,73,fire,14.5,False
69,70,45,72,1.5,75,Delphox,655,104,fire,39.0,False
56,70,45,40,0.3,41,Froakie,656,71,water,7.0,False
63,70,45,52,0.6,54,Frogadier,657,97,water,10.9,False
145,70,45,67,1.5,72,Greninja,658,132,water,40.0,False
36,70,255,38,0.4,38,Bunnelby,659,57,normal,5.0,False
56,70,127,77,1.0,85,Diggersby,660,78,normal,42.4,False
50,70,255,43,0.3,45,Fletchling,661,62,normal,1.7,False
73,70,120,55,0.7,62,Fletchinder,662,84,fire,16.0,False
81,70,45,71,1.2,78,Talonflame,663,126,fire,24.5,False
35,70,255,40,0.3,38,Scatterbug,664,35,bug,2.5,False
22,70,120,60,0.3,45,Spewpa,665,29,bug,8.4,False
52,70,45,50,1.2,80,Vivillon,666,89,bug,17.0,False
50,70,220,58,0.6,62,Litleo,667,72,fire,13.5,False
68,70,65,72,1.5,86,Pyroar,668,106,fire,81.5,False
38,70,225,39,0.1,44,Flabébé,669,42,fairy,0.1,False
65,70,120,67,0.2,74,Floette,670,92,fairy,0.9,False
65,70,45,68,1.1,78,Florges,671,75,fairy,10.0,False
65,70,200,48,0.9,66,Skiddo,672,52,grass,31.0,False
100,70,45,62,1.7,123,Gogoat,673,68,grass,91.0,False
82,70,220,62,0.6,67,Pancham,674,43,fighting,8.0,False
124,70,65,78,2.1,95,Pangoro,675,58,fighting,136.0,False
80,70,160,60,1.2,75,Furfrou,676,102,normal,28.0,False
48,70,190,54,0.3,62,Espurr,677,68,psychic,3.5,False
48,70,75,76,0.6,74,Meowstic,678,104,psychic,8.5,False
80,70,180,100,0.8,45,Honedge,679,28,steel,2.0,False
110,70,90,150,0.8,59,Doublade,680,35,steel,4.5,False
150,70,45,50,1.7,60,Aegislash,681,60,steel,53.0,False
52,70,200,60,0.2,78,Spritzee,682,23,fairy,0.5,False
72,70,140,72,0.8,101,Aromatisse,683,29,fairy,15.5,False
48,70,200,66,0.4,62,Swirlix,684,49,fairy,3.5,False
80,70,140,86,0.8,82,Slurpuff,685,72,fairy,5.0,False
54,70,190,53,0.4,53,Inkay,686,45,dark,3.5,False
92,70,80,88,1.5,86,Malamar,687,73,dark,47.0,False
52,70,120,67,0.5,42,Binacle,688,50,rock,31.0,False
105,70,45,115,1.3,72,Barbaracle,689,68,rock,96.0,False
60,70,225,60,0.5,50,Skrelp,690,30,poison,7.3,False
75,70,55,90,1.8,65,Dragalge,691,44,poison,81.5,False
53,70,225,62,0.5,50,Clauncher,692,44,water,8.3,False
73,70,55,88,1.3,71,Clawitzer,693,59,water,35.3,False
38,70,190,33,0.5,44,Helioptile,694,70,electric,6.0,False
55,70,75,52,1.0,62,Heliolisk,695,109,electric,21.0,False
89,70,45,77,0.8,58,Tyrunt,696,48,rock,26.0,False
121,70,45,119,2.5,82,Tyrantrum,697,71,rock,270.0,False
59,70,45,50,1.3,77,Amaura,698,46,rock,25.2,False
77,70,45,72,2.7,123,Aurorus,699,58,rock,225.0,False
65,70,45,65,1.0,95,Sylveon,700,60,fairy,23.5,False
92,70,100,75,0.8,78,Hawlucha,701,118,fighting,21.5,False
58,70,180,57,0.2,67,Dedenne,702,101,electric,2.2,False
50,70,60,150,0.3,50,Carbink,703,50,rock,5.7,False
50,35,45,35,0.3,45,Goomy,704,40,dragon,2.8,False
75,35,45,53,0.8,68,Sliggoo,705,60,dragon,17.5,False
100,35,45,70,2.0,90,Goodra,706,80,dragon,150.5,False
80,70,75,91,0.2,57,Klefki,707,75,steel,3.0,False
70,70,120,48,0.4,43,Phantump,708,38,ghost,7.0,False
110,70,60,76,1.5,85,Trevenant,709,56,ghost,71.0,False
66,70,120,70,0.8,59,Pumpkaboo,710,41,ghost,15.0,False
100,70,60,122,1.7,85,Gourgeist,711,54,ghost,39.0,False
69,70,190,85,1.0,55,Bergmite,712,28,ice,99.5,False
117,70,55,184,2.0,95,Avalugg,713,28,ice,505.0,False
30,70,190,35,0.5,40,Noibat,714,55,flying,8.0,False
70,70,45,80,1.5,85,Noivern,715,123,flying,85.0,False
131,0,45,95,3.0,126,Xerneas,716,99,fairy,215.0,True
131,0,45,95,5.8,126,Yveltal,717,99,dark,203.0,True
100,0,3,121,5.0,216,Zygarde,718,85,dragon,284.6,True
160,70,3,110,0.7,50,Diancie,719,110,rock,8.8,True
110,100,3,120,1.7,80,Volcanion,721,70,fire,195.0,True
55,70,45,55,0.3,68,Rowlet,722,42,grass,1.5,False
75,70,45,75,0.7,78,Dartrix,723,52,grass,16.0,False
107,70,45,75,1.6,78,Decidueye,724,70,grass,36.6,False
65,70,45,40,0.4,45,Litten,725,70,fire,4.3,False
85,70,45,50,0.7,65,Torracat,726,90,fire,25.0,False
115,70,45,90,1.8,95,Incineroar,727,60,fire,83.0,False
54,70,45,54,0.4,50,Popplio,728,40,water,7.5,False
69,70,45,69,0.6,60,Brionne,729,50,water,17.5,False
74,70,45,74,1.8,80,Primarina,730,60,water,44.0,False
75,70,255,30,0.3,35,Pikipek,731,65,normal,1.2,False
85,70,120,50,0.6,55,Trumbeak,732,75,normal,14.8,False
120,70,45,75,1.1,80,Toucannon,733,60,normal,26.0,False
70,70,255,30,0.4,48,Yungoos,734,45,normal,6.0,False
110,70,127,60,0.7,88,Gumshoos,735,45,normal,14.2,False
62,70,255,45,0.4,47,Grubbin,736,46,bug,4.4,False
82,70,120,95,0.5,57,Charjabug,737,36,bug,10.5,False
70,70,45,90,1.5,77,Vikavolt,738,43,bug,45.0,False
82,70,225,57,0.6,47,Crabrawler,739,63,fighting,7.0,False
132,70,60,77,1.7,97,Crabominable,740,43,fighting,180.0,False
70,70,45,70,0.6,75,Oricorio,741,93,fire,3.4,False
45,70,190,40,0.1,40,Cutiefly,742,84,bug,0.2,False
55,70,75,60,0.2,60,Ribombee,743,124,bug,0.5,False
65,70,190,40,0.5,45,Rockruff,744,60,rock,9.2,False
140,70,60,130,0.2,45,Wishiwashi,746,30,water,0.3,False
53,70,190,62,0.4,50,Mareanie,747,45,poison,8.0,False
63,70,75,152,0.7,50,Toxapex,748,35,poison,14.5,False
100,70,190,70,1.0,70,Mudbray,749,45,ground,110.0,False
125,70,60,100,2.5,100,Mudsdale,750,35,ground,920.0,False
40,70,200,52,0.3,38,Dewpider,751,27,water,4.0,False
70,70,100,92,1.8,68,Araquanid,752,42,water,82.0,False
55,70,190,35,0.3,40,Fomantis,753,35,grass,1.5,False
105,70,75,90,0.9,70,Lurantis,754,45,grass,18.5,False
35,70,190,55,0.2,40,Morelull,755,15,grass,1.5,False
45,70,75,80,1.0,60,Shiinotic,756,30,grass,11.5,False
44,70,120,40,0.6,48,Salandit,757,77,poison,4.8,False
64,70,45,60,1.2,68,Salazzle,758,117,poison,22.2,False
75,70,140,50,0.5,70,Stufful,759,50,normal,6.8,False
125,70,70,80,2.1,120,Bewear,760,60,normal,135.0,False
30,70,235,38,0.3,42,Bounsweet,761,32,grass,3.2,False
40,70,120,48,0.7,52,Steenee,762,62,grass,8.2,False
120,70,45,98,1.2,72,Tsareena,763,72,grass,21.4,False
52,70,60,90,0.1,51,Comfey,764,100,fairy,0.3,False
60,70,45,80,1.5,90,Oranguru,765,60,normal,76.0,False
120,70,45,90,2.0,100,Passimian,766,80,fighting,82.8,False
35,70,90,40,0.5,25,Wimpod,767,80,bug,12.0,False
125,70,45,140,2.0,75,Golisopod,768,40,bug,108.0,False
55,70,140,80,0.5,55,Sandygast,769,15,ghost,70.0,False
75,70,60,110,1.3,85,Palossand,770,35,ghost,250.0,False
60,70,60,130,0.3,55,Pyukumuku,771,5,water,1.2,False
95,0,3,95,1.9,95,Type: Null,772,59,normal,120.5,False
95,0,3,95,2.3,95,Silvally,773,95,normal,100.5,False
115,70,45,65,0.4,65,Komala,775,65,normal,19.9,False
78,70,70,135,2.0,60,Turtonator,776,36,fire,212.0,False
98,70,180,63,0.3,65,Togedemaru,777,96,electric,3.3,False
90,70,45,80,0.2,55,Mimikyu,778,96,ghost,0.7,False
105,70,80,70,0.9,68,Bruxish,779,92,water,19.0,False
60,70,70,85,3.0,78,Drampa,780,36,normal,185.0,False
131,70,25,100,3.9,70,Dhelmise,781,40,ghost,210.0,False
55,70,45,65,0.6,45,Jangmo-o,782,45,dragon,29.7,False
75,70,45,90,1.2,55,Hakamo-o,783,65,dragon,47.0,False
110,70,45,125,1.6,75,Kommo-o,784,85,dragon,78.2,False
115,70,3,85,1.8,70,Tapu Koko,785,130,electric,20.5,True
85,70,3,75,1.2,70,Tapu Lele,786,95,psychic,18.6,True
130,70,3,115,1.9,70,Tapu Bulu,787,75,grass,45.5,True
75,70,3,115,1.3,70,Tapu Fini,788,85,water,21.2,True
29,0,45,31,0.2,43,Cosmog,789,37,psychic,0.1,True
29,0,45,131,0.1,43,Cosmoem,790,37,psychic,999.9,True
137,0,45,107,3.4,137,Solgaleo,791,97,psychic,230.0,True
113,0,45,89,4.0,137,Lunala,792,97,psychic,120.0,True
53,0,45,47,1.2,109,Nihilego,793,103,rock,55.5,True
139,0,25,139,2.4,107,Buzzwole,794,79,bug,333.6,True
137,0,255,37,1.8,71,Pheromosa,795,151,bug,25.0,True
89,0,30,71,3.8,83,Xurkitree,796,83,electric,100.0,True
101,0,25,103,9.2,97,Celesteela,797,61,steel,999.9,True
181,0,255,131,0.3,59,Kartana,798,109,grass,0.1,True
101,0,15,53,5.5,223,Guzzlord,799,43,dark,888.0,True
107,0,3,101,2.4,97,Necrozma,800,79,psychic,230.0,True
95,0,3,115,1.0,80,Magearna,801,65,steel,80.5,True
